Title,Year,ActNo
Lady Hardinge Medical College and Hospital (Acquisition and Miscellaneous Provisions) Act[1977],1977,34
High Denomination Bank Notes (Demonetisation) Act[1978],1978,11
Interest Act[1978],1978,14
Public Sector Iron and Steel Companies (Restructuring) and Miscellaneous Provisions Act[1978],1978,16
Coast Guard Act[1978],1978,30
Metro Railways (Construction of Works) Act[1978],1978,33
Delhi Police Act[1978],1978,34
Press Council Act[1978],1978,37
Britannia Engineering Company Limited and Arthur Butler and Company (Muzaffarpore) Limited (Acquisition and Transfer of Undertakings) Act[1978],1978,41
Prize Chits and Money Circulation Scheme (Banning) Act[1978],1978,43
Coconut Development Board Act[1979],1979,5
Union Duties of Excise (Distribution) Act[1979],1979,24
Inter-State Migrant Workmen Regulation of Employment and Condition of Service) Act[1979],1979,30
Haryana and Uttar Pradesh (Alteration of Boundaries) Act[1979],1979,31
Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities Act[1980],1980,7
Banking Companies (Acquisition and Transfer of Undertakings) Act[1980],1980,40
Essential Services Maintenance (Assam) Act[1980],1980,41
National Company (Acquisition and Transfer of Undertakings) Act[1980],1980,42
Brahmaputra Board Act[1980],1980,46
Sree Chitra Tirunal Institute for Medical Sciences and Technology Trivandrum Act[1980],1980,52
Hotel-Receipts Tax Act[1980],1980,54
Company Secretaries Act[1980],1980,56
Jute Companies (Nationalisation) Act[1980],1980,62
National Security Act[1980],1980,65
Bird and Company Limited (Acquisition and Transfer of Undertakings and Other Properties) Act[1980],1980,67
Forest (Conservation) Act[1980],1980,69
Hind Cycles Limited and Sen-Raleigh Limited (Nationalisation) Act[1980],1980,70
Air (Prevention and Control of Pollution) Act[1981],1981,14
High Court and Bombay (Extension of Jurisdiction to Goa Daman and Diu) Act[1981],1981,26
Export-Import Bank of India Act[1981],1981,28
British India Corporation Limited (Acquisition of Shares) Act[1981],1981,29
Cine-Workers Welfare Fund Act[1981],1981,33
Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Act[1981],1981,42
Anti-Apartheid (United Nations Convention) Act[1981],1981,48
Cine-Workers and Cinema Theatre Workers (Regulation of Employment) Act[1981],1981,50
National Bank for Agriculture and Rural Development Act[1981],1981,61
African Development Fund Act[1982],1982,1
Sugar Development Fund Act[1982],1982,4
Chaparmukh Silghat Railway Line and the Katakhal Lalabazar Railway Line (Nationalisation) Act[1982],1982,36
Chit Funds Act[1982],1982,40
Governors (Emoluments Allowances and Privileges) Act[1982],1982,43
State Bank of Sikkim (Acquisition of Shares) and Miscellaneous Provisions Act[1982],1982,62
Suppression of Unlawful Acts Against Safety of Civil Aviation Act[1982],1982,66
Andhra Scientific Company Limited (Acquisition and Transfer of Undertakings) Act[1982],1982,71
African Development Bank Act[1983],1983,13
Jute Manufacturers Development Council Act[1983],1983,27
Emigration Act[1983],1983,31
Punjab Disturbed Areas Act[1983],1983,32
Chandigarh Disturbed Areas Act[1983],1983,33
Armed Forces (Punjab and Chandigarh) Special Powers Act[1983],1983,34
Illegal Migrants (Determination by Tribunals) Act[1983],1983,39
Public Financial Institutions (Obligation as to Fidelity and Secrecy) Act[1983],1983,48
Prevention of Damage to Public Property Act[1984],1984,3
Asiatic Society Act[1984],1984,5
Inchek Tyres Limited and National Rubber Manufacturers Limited (Nationalisation) Act[1984],1984,17
Punjab State Legislature (Delegation of Powers) Act[1984],1984,36
Indian Veterinary Council Act[1984],1984,52
Hooghly Docking and Engineering Company Limited (Acquisition and Transfer of Undertakings) Act[1984],1984,55
